Artist,Track,Album,Album_type,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_min,Title,Channel,Views,Likes,Comments,Licensed,official_video,Stream,EnergyLiveness,most_playedon
Paolo Nutini,Acid Eyes,Last Night In The Bittersweet,album,0.679,0.481,-8.413,0.0274,0.239,0.000124,0.0922,0.647,112.001,4.555816666666667,Paolo Nutini - Acid Eyes (Official Visualiser),Paolo Nutini,246900.0,2949.0,159.0,True,True,8063012.0,5.216919739696312,Spotify
Sagopa Kajmer,Onlarla konusuyorum,Onlarla konusuyorum,single,0.739,0.289,-13.211,0.0565,0.435,0.00787,0.109,0.542,92.025,3.521733333333333,Defkhan ft. Sagopa Kajmer - Onlarla Konu?uyorum (Official Video),Defkhan Official,4329177.0,81160.0,5225.0,True,True,5762064.0,2.6513761467889907,Spotify
Bazzi,Beautiful (feat. Camila Cabello),Beautiful (feat. Camila Cabello),single,0.638,0.717,-4.722,0.0337,0.346,0.0,0.105,0.249,100.027,3.0,Bazzi feat. Camila Cabello - Beautiful [Official Music Video],Bazzi,199467012.0,2114050.0,40479.0,True,True,662284883.0,6.828571428571428,Spotify
Banda Cuisillos,Acuérdate De Mi,Acuérdate de Mi,album,0.579,0.661,-7.51,0.0801,0.295,0.000364,0.338,0.629,78.947,3.87115,@CuisillosOficial - Acuérdate De Mí (Video Oficial),CuisillosOficial,9729957.0,31736.0,693.0,False,True,17806164.0,1.955621301775148,Spotify
Cream,Outside Woman Blues,Disraeli Gears (Deluxe Edition),album,0.636,0.589,-8.196,0.0387,0.389,0.000211,0.379,0.959,113.403,2.414,Cream - Outside Woman Blues (Royal Albert Hall 2005) (3 of 22),theeshrimpking,1337899.0,7401.0,488.0,False,False,6563426.0,1.5540897097625328,Spotify
Salmo,Lamette (feat. Salmo),Radio Gotham,album,0.722,0.75,-5.47,0.046,0.541,0.0,0.399,0.503,115.998,2.49155,Rose Villain - Lamette (Official Video) ft. Salmo,RoseVillainVEVO,288301.0,6763.0,176.0,True,True,2701651.0,1.8796992481203008,Spotify
Sujatha,Chakku Chakku Vaththikuchi,Asuran (Original Motion Picture Soundtrack),single,0.686,0.54,-20.198,0.404,0.0815,0.00195,0.204,0.773,192.128,4.483783333333333,Chakku Chakku Vathikuchi | Asuran Movie Video Songs | Roja | Adithyan | Superhit Old Tamil Songs,NH Tamil Songs,7595652.0,130993.0,5059.0,True,True,4436212.0,2.647058823529412,Youtube
Wu-Tang Clan,"Gravel Pit (feat. RZA, Method Man, Ghostface Killah, Raekwon & U-God)",The Essential Wu-Tang Clan,album,0.785,0.728,-7.364,0.254,0.278,0.0,0.137,0.533,120.952,4.07045,Wu-Tang Clan - Gravel Pit (Official Video),WuTangClanVEVO,41121912.0,215994.0,6017.0,True,True,85411926.0,5.313868613138686,Spotify
Eazy-E,No More ?'s,Eazy-Duz-It,album,0.935,0.805,-4.782,0.225,0.0143,1.53e-06,0.298,0.624,105.641,3.906,Eazy E - No More Question's,TehRapChannel,11589915.0,208836.0,6780.0,False,False,77289104.0,2.701342281879195,Spotify
George Benson,Since I Fell For You,Guitar Man,album,0.467,0.108,-12.753,0.0347,0.952,1.61e-06,0.11,0.242,92.82,2.974,? George Benson - Since I fell for you,LazarusJazz1,204178.0,1158.0,45.0,False,False,16631075.0,0.9818181818181818,Spotify
Kordhell,Live Another Day,Phonkageddon,single,0.822,0.981,-1.321,0.109,0.000593,0.748,0.0938,0.404,115.005,2.2260833333333334,Kordhell - Live Another Day  | (Official video),Elihu Lerma ,122361.0,3199.0,73.0,False,False,140232062.0,10.458422174840086,Spotify
Foo Fighters,Learn to Fly,There Is Nothing Left To Lose,album,0.465,0.919,-4.025,0.0408,1.83e-05,2.07e-05,0.262,0.537,135.997,3.92155,Foo Fighters - Learn To Fly (Official Music Video),foofightersVEVO,162864195.0,709833.0,31559.0,True,True,429307999.0,3.5076335877862594,Spotify
Camila Cabello,Havana (feat. Young Thug),Camila,album,0.765,0.523,-4.333,0.03,0.184,3.56e-05,0.132,0.394,104.988,3.621783333333333,Camila Cabello - Havana ft. Young Thug,CamilaCabelloVEVO,1052968973.0,10917953.0,473144.0,True,True,1848654151.0,3.962121212121212,Spotify
MC Hariel,Até Achar Alguém - Ao Vivo,Até Achar Alguém (Ao Vivo),single,0.681,0.788,-5.25,0.0432,0.353,0.0,0.454,0.709,135.946,3.55305,Felipe Araujo e MC Hariel - Até Achar Alguém | Esquenta Dois (Vídeo Oficial),Felipe Araújo,8957813.0,38756.0,2008.0,False,False,7463996.0,1.73568281938326,Youtube
The Black Keys,Your Touch,Magic Potion,album,0.532,0.768,-8.698,0.0551,0.8,2.01e-05,0.377,0.698,116.026,2.709783333333333,The Black Keys - Your Touch [Official Music Video],The Black Keys,6530418.0,27353.0,1180.0,True,True,35985746.0,2.037135278514589,Spotify
Gesaffelstein,Blast Off (feat. Pharrell Williams),Blast Off (feat. Pharrell Williams),single,0.627,0.505,-12.659,0.0549,0.197,0.0149,0.0583,0.146,100.005,3.59955,Gesaffelstein & Pharrell Williams - Blast Off (Official Video),GesaffelsteinVEVO,5648721.0,96609.0,0.0,True,True,14391975.0,8.662092624356776,Spotify
Vacations,Young,Vibes,single,0.498,0.81,-4.065,0.0263,0.00392,0.00717,0.0635,0.594,79.935,3.1526666666666667,Vacations - Young (Official Music Video),VACATIONS,4116864.0,136008.0,2160.0,False,False,350308790.0,12.755905511811024,Spotify
Los Inquietos Del Norte,Mi Amigo el de Arriba,La Gritera,album,0.721,0.801,-7.058,0.0648,0.417,1.31e-06,0.0739,0.649,122.327,2.441116666666667,Los Inquietos Del Norte - Mi Amigo El De Arriba (Video Oficial),Inquietos del Norte,288617929.0,1085093.0,21347.0,True,True,62908755.0,10.83897158322057,Youtube
Russ,Are You Entertained (feat. Ed Sheeran),Are You Entertained (feat. Ed Sheeran),single,0.587,0.61,-6.881,0.234,0.0402,0.0,0.167,0.556,130.063,2.601383333333333,Russ - Are You Entertained (Feat. Ed Sheeran) (Official Video),Russ,24822312.0,195069.0,6479.0,True,True,43758679.0,3.652694610778443,Spotify
Sonu Nigam,Tumse Milke Dil Ka,Main Hoon Na,album,0.853,0.745,-8.636,0.109,0.0642,1.87e-06,0.0274,0.882,107.985,5.98755,Tumse Milke Dilka Jo Haal [Full Song] | Main Hoon Na | Shahrukh Khan,T-Series,158580261.0,1310735.0,24260.0,True,True,30651817.0,27.189781021897808,Youtube
Héctor Lavoe,Juanito Alimaña,Vigilante,album,0.688,0.795,-4.537,0.0415,0.76,8.01e-06,0.0484,0.921,90.698,7.616,Hector Lavoe - Juanito Alimaña (Official video),The Magic Hand,366685.0,3212.0,92.0,False,False,36688539.0,16.425619834710744,Spotify
Leon James,"Haiyo Haiyo (From ""Oh My Kadavule"")","Haiyo Haiyo (From ""Oh My Kadavule"")",single,0.872,0.757,-4.805,0.0782,0.347,0.0,0.0483,0.849,123.007,3.4833833333333333,"Oh My Kadavule - Haiyo Haiyo Video | Ashok Selvan, Vani Bhojan | Leon James",SonyMusicSouthVEVO,2215255.0,36167.0,490.0,True,True,4943735.0,15.67287784679089,Spotify
MNEK,Never Forget You,So Good,album,0.583,0.732,-5.728,0.0457,0.00312,9.86e-06,0.269,0.276,145.992,3.5571333333333333,"Zara Larsson, MNEK - Never Forget You",ZaraLarssonMusicVEVO,519338846.0,3755899.0,100424.0,True,True,877421698.0,2.721189591078067,Spotify
Tayc,Qui,Fleur froide,album,0.675,0.443,-8.509,0.0435,0.195,0.0,0.0644,0.434,96.955,3.772,Tayc - Qui ( Clip officiel ),il s'ennuie,124331.0,2289.0,49.0,False,False,16852708.0,6.87888198757764,Spotify
Playero,Old School Remix,"Playero Greatest Hits Street Mix, Vol. 2",compilation,0.759,0.893,-5.141,0.0824,0.0032,8.96e-06,0.854,0.837,106.627,4.68955,Old School y Playero Mix,Chris Zelayandia,97931.0,686.0,22.0,False,False,251339.0,1.0456674473067915,Spotify
Yeat,Flawlëss (feat. Lil Uzi Vert),Lyfë,album,0.474,0.805,-5.997,0.332,0.0715,0.0,0.147,0.109,131.001,2.935416666666667,Yeat - Flawlëss (feat. Lil Uzi Vert) [Music Video],LyricalOranged,8377.0,161.0,11.0,False,False,50795324.0,5.476190476190477,Spotify
